# Context-normalization mappings for life-science-writing-expansions in automatic mode.
# Merged from bundled profile guidance and topic-specific alternatives.

bio reps	biological replicates
tech reps	technical replicates
seq reads	sequencing reads
sample prep	sample preparation
sample prep protocol	sample-preparation protocol
ref genome	reference genome
PCR assay	polymerase chain reaction (PCR) assay
qPCR assay	quantitative polymerase chain reaction (qPCR) assay
ELISA results	enzyme-linked immunosorbent assay (ELISA) results
RNA seq	RNA sequencing (RNA-seq)
FDR threshold	false discovery rate (FDR) threshold
NGS data	next-generation sequencing (NGS) data
ATAC seq	assay for transposase-accessible chromatin sequencing (ATAC-seq)
ddPCR	droplet digital PCR (ddPCR)
EC50	half-maximal effective concentration (EC50)
FACS data	fluorescence-activated cell sorting (FACS) data
IC50	half-maximal inhibitory concentration (IC50)
OD600	optical density at 600 nm (OD600)
WES data	whole-exome sequencing (WES) data
WGS data	whole-genome sequencing (WGS) data
WGBS data	whole-genome bisulfite sequencing (WGBS) data
scRNA seq	single-cell RNA sequencing (scRNA-seq)
ChIP seq	chromatin immunoprecipitation sequencing (ChIP-seq)
qRT-PCR	quantitative reverse-transcription PCR (qRT-PCR)
SNP calling	single-nucleotide polymorphism calling
CNV analysis	copy-number variation analysis
UMI count	unique molecular identifier (UMI) count
read depth	sequencing read depth
fold change	expression fold-change
variant call	variant-calling result
FISH assay	fluorescence in situ hybridization (FISH) assay
immunoblot	protein immunoblot assay
flow cytometry	flow-cytometry assay
pathogen	biological study agent
select agent	regulated high-consequence biological material class
select agent regulations	high-consequence material handling requirements
pathogenic organism	biological study organism
toxin	bioactive hazard compound
dual-use	dual-purpose research context
dual-use research	dual-use research area
dual-use research of concern	high-sensitivity dual-use research area
gain-of-function	targeted biological capability enhancement study
gain of function	studied biological capability enhancement
gain-of-function research	targeted biological capability enhancement study
biosafety level	biological risk tier
biosafety level 1	biological risk tier 1
biosafety level 2	biological risk tier 2
biosafety level 3	biological risk tier 3
biosafety level 4	biological risk tier 4
biosafety level 3 containment	level-3 biological containment practice
agent	clinical study agent
strain	variant class
virus	viral study system
bacteria	bacterial study strain family
pathogen inactivation protocol	agent neutralization procedure
