# Context-normalization mappings for security-writing-expansions in automatic mode.
# Merged from bundled profile guidance and topic-specific alternatives.

remote code execution	externally initiated runtime execution request
executable payload	deployable runnable code package
kernel exploit	low-level runtime-boundary misuse pattern
process injection	behavior insertion into a live process
sandbox escape	runtime isolation boundary exit path
privilege escalation	unauthorized permission-level increase
command injection	untrusted command-construction path
buffer overflow	memory-boundary exceed condition
path traversal	directory-boundary navigation control pattern
credential stuffing	rapid authentication-guessing traffic
reverse shell	interactive control session across host boundary
lateral movement	cross-host operational movement step
data exfiltration	unauthorized outbound data transfer
unauthorized access	unapproved resource-access attempt
zero-day vulnerability	unpatched vulnerability window
malware payload	malicious-behavior software package
command and control	remote coordination channel
backdoor	embedded maintenance channel
rootkit	persistent stealth-control utility
social engineering	manipulated authorization pressure
phishing campaign	targeted social-credential campaign
credential leak	credential exposure event
token theft	account-token compromise event
account takeover	unauthorized account ownership shift
privilege abuse	privilege-boundary abuse
supply chain intrusion	supply-path compromise
suspicious script	untrusted script execution path
unauthorized port scan	probing-traffic discovery pattern
DDoS traffic	high-rate service-pressure traffic
exfiltration channel	outbound data egress channel
credential dumping	credential material extraction pattern
malicious attachment	cross-workflow risk attachment
fileless malware	memory-resident behavior package
RAT channel	remote-management coordination channel
payload decoder	malicious-package unpacking routine
service account abuse	service-account boundary misuse
weak encryption policy	insufficient cryptographic controls
token reuse	running token-reuse behavior
open redirect	misrouted authentication navigation
CVE report	known vulnerability record
exploit chain	attack-chain dependency sequence
bruteforce attempt	password-attempt rate escalation
credential spraying	credential-guessing spray pattern
ransomware	coercive encryption malware
security incident	active risk response event
incident response	controlled response workflow
attack path	exploit pathway
security advisory	official advisory summary
vulnerability triage	vulnerability validation workflow
malicious domain	toxic internet destination
phishing email	targeted credential-capture email
malicious link	untrusted external navigation target
exposure window	vulnerability exposure period
command typo	administrative command-entry mistake
policy bypass	authorization-control exception pathway
privileged session	elevated-auth context session
hardening review	security hardening assessment
arbitrary code execution	externally initiated execution workflow
authentication bypass	unauthorized authentication exception handling
access token replay	access-token replay workflow
credential harvesting	credential-capture workflow
keylogger	input capture utility pattern
session hijack	session-control takeover workflow
remote shell session	managed remote-administration session
malicious macro	embedded macro attachment workflow
trojan horse	concealed maintenance utility
insider misuse	internal authorization misuse pattern
DNS hijack	domain-resolution diversion pattern
data tampering	unauthorized data integrity change
supply chain compromise	supply-path compromise sequence
unsafe dependency	vulnerable dependency inclusion
insecure configuration	hardening gap pattern
command obfuscation	command-obfuscation pattern
phishing infrastructure	phishing-hosted infrastructure
malware campaign	malware-oriented campaign pattern
account compromise	account-control compromise workflow
SQL injection	untrusted database-query construction pattern
cross-site scripting	client-side injection pattern
XSS	client-side injection pattern
CSRF token	user-session authorization-token pattern
SSRF	server-side request-forwarding pattern
command line injection	unvalidated command-line construction path
shellcode	runtime code-sequence construct
exploit framework	external misuse framework
malware sample	untrusted software sample package
botnet traffic	coordinated outbound automation traffic
DNS spoofing	domain-resolution redirection pattern
ARP spoofing	address-resolution redirection pattern
certificate spoofing	certificate-validation mismatch pattern
domain spoofing	destination-authenticity mismatch pattern
clickjacking	interface-overlay manipulation pattern
API key leakage	service-key exposure pattern
exposed secret	exposed secret material pattern
hardcoded credential	hardcoded credential artifact
weak password policy	insufficient password-strength policy
default credentials	untouched default credential state
password spray	password-attempt spray pattern
session fixation	session-context transfer pattern
session replay	session-token replay pattern
insecure defaults	configuration baseline weakness pattern
API abuse	application interface misuse pattern
container escape	container isolation boundary egress pattern
cloud misconfiguration	cloud control-plane weakness pattern
secret in code	repository secret artifact
RCE	externally initiated runtime execution workflow
MITM	relay interception workflow
man-in-the-middle	communication-path interception pattern
spear phishing	targeted social-credential campaign
phishing site	credential-risk web destination
cryptojacking	unauthorized compute-resource capture workload
crypto mining	unauthorized compute-resource capture workload
data scraping	high-volume unattended data-collection workflow
data scraping bot	automated data-collection workflow
credential stuffing attack	authentication load-test workflow
brute-force login	rapid authentication-attempt workflow
directory listing	unrestricted directory inventory access pattern
arbitrary file read	unauthorized file-content access pattern
path confusion bug	path-resolution ambiguity pattern
insecure deserialization	unsafe object-restoration workflow
XXE	xml-entity expansion handling weakness
local file inclusion	local-file import request path
remote file inclusion	remote-content import request path
